C:\Users\zahra\PyCharmMiscProject\.venv\bin\python.exe C:\Users\zahra\PyCharmMiscProject\AW.py 

  Running correctness verification …
  ✓ All 10 algorithms passed correctness check.

=================================================================
  Experimental Comparison of Sorting Algorithms
  Algorithms Course — Python Benchmark
=================================================================
  Algorithms   : 10
  Input sizes  : [100, 500, 1000, 2000, 5000, 10000]
  Distributions: ['random', 'sorted', 'reverse']
  Trials/cell  : 5
  Total cells  : 180
=================================================================

── Distribution: RANDOM ──────────────────────────────
  [  0.6%]  Bubble Sort       n=   100  random         0.262 ms
  [  1.1%]  Selection Sort    n=   100  random         0.141 ms
  [  1.7%]  Insertion Sort    n=   100  random         0.117 ms
  [  2.2%]  Merge Sort        n=   100  random         0.235 ms
  [  2.8%]  Quick Sort        n=   100  random         0.040 ms
  [  3.3%]  Heap Sort         n=   100  random         0.084 ms
  [  3.9%]  Shell Sort        n=   100  random         0.067 ms
  [  4.4%]  Counting Sort     n=   100  random         0.358 ms
  [  5.0%]  Radix Sort        n=   100  random         0.057 ms
  [  5.6%]  Tim Sort          n=   100  random         0.005 ms
  [  6.1%]  Bubble Sort       n=   500  random        15.174 ms
  [  6.7%]  Selection Sort    n=   500  random         7.178 ms
  [  7.2%]  Insertion Sort    n=   500  random         5.062 ms
  [  7.8%]  Merge Sort        n=   500  random         2.256 ms
  [  8.3%]  Quick Sort        n=   500  random         0.388 ms
  [  8.9%]  Heap Sort         n=   500  random         0.831 ms
  [  9.4%]  Shell Sort        n=   500  random         0.975 ms
  [ 10.0%]  Counting Sort     n=   500  random         2.237 ms
  [ 10.6%]  Radix Sort        n=   500  random         0.383 ms
  [ 11.1%]  Tim Sort          n=   500  random         0.026 ms
  [ 11.7%]  Bubble Sort       n= 1,000  random        69.952 ms
  [ 12.2%]  Selection Sort    n= 1,000  random        31.217 ms
  [ 12.8%]  Insertion Sort    n= 1,000  random        24.824 ms
  [ 13.3%]  Merge Sort        n= 1,000  random         2.664 ms
  [ 13.9%]  Quick Sort        n= 1,000  random         2.075 ms
  [ 14.4%]  Heap Sort         n= 1,000  random         3.141 ms
  [ 15.0%]  Shell Sort        n= 1,000  random        14.039 ms
  [ 15.6%]  Counting Sort     n= 1,000  random         3.101 ms
  [ 16.1%]  Radix Sort        n= 1,000  random         1.241 ms
  [ 16.7%]  Tim Sort          n= 1,000  random         0.087 ms
  [ 17.2%]  Bubble Sort       n= 2,000  random       300.979 ms
  [ 17.8%]  Selection Sort    n= 2,000  random       128.386 ms
  [ 18.3%]  Insertion Sort    n= 2,000  random       129.234 ms
  [ 18.9%]  Merge Sort        n= 2,000  random         5.702 ms
  [ 19.4%]  Quick Sort        n= 2,000  random         3.106 ms
  [ 20.0%]  Heap Sort         n= 2,000  random         5.131 ms
  [ 20.6%]  Shell Sort        n= 2,000  random         5.565 ms
  [ 21.1%]  Counting Sort     n= 2,000  random         5.967 ms
  [ 21.7%]  Radix Sort        n= 2,000  random         1.819 ms
  [ 22.2%]  Tim Sort          n= 2,000  random         0.166 ms
  [ 22.8%]  Bubble Sort       n= 5,000  random      2331.066 ms
  [ 23.3%]  Selection Sort    n= 5,000  random       874.952 ms
  [ 23.9%]  Insertion Sort    n= 5,000  random       867.997 ms
  [ 24.4%]  Merge Sort        n= 5,000  random        15.298 ms
  [ 25.0%]  Quick Sort        n= 5,000  random         9.842 ms
  [ 25.6%]  Heap Sort         n= 5,000  random        15.893 ms
  [ 26.1%]  Shell Sort        n= 5,000  random        14.375 ms
  [ 26.7%]  Counting Sort     n= 5,000  random        20.907 ms
  [ 27.2%]  Radix Sort        n= 5,000  random         4.765 ms
  [ 27.8%]  Tim Sort          n= 5,000  random         0.534 ms
  [ 28.3%]  Bubble Sort       n=10,000  random      8746.995 ms
  [ 28.9%]  Selection Sort    n=10,000  random      4083.490 ms
  [ 29.4%]  Insertion Sort    n=10,000  random      3973.022 ms
  [ 30.0%]  Merge Sort        n=10,000  random        58.764 ms
  [ 30.6%]  Quick Sort        n=10,000  random        19.741 ms
  [ 31.1%]  Heap Sort         n=10,000  random        36.989 ms
  [ 31.7%]  Shell Sort        n=10,000  random        52.747 ms
  [ 32.2%]  Counting Sort     n=10,000  random        29.358 ms
  [ 32.8%]  Radix Sort        n=10,000  random        15.717 ms
  [ 33.3%]  Tim Sort          n=10,000  random         2.612 ms
── Distribution: SORTED ──────────────────────────────
  [ 33.9%]  Bubble Sort       n=   100  sorted         0.011 ms
  [ 34.4%]  Selection Sort    n=   100  sorted         0.308 ms
  [ 35.0%]  Insertion Sort    n=   100  sorted         0.014 ms
  [ 35.6%]  Merge Sort        n=   100  sorted         0.264 ms
  [ 36.1%]  Quick Sort        n=   100  sorted         0.020 ms
  [ 36.7%]  Heap Sort         n=   100  sorted         0.062 ms
  [ 37.2%]  Shell Sort        n=   100  sorted         0.023 ms
  [ 37.8%]  Counting Sort     n=   100  sorted         0.276 ms
  [ 38.3%]  Radix Sort        n=   100  sorted         0.045 ms
  [ 38.9%]  Tim Sort          n=   100  sorted         0.001 ms
  [ 39.4%]  Bubble Sort       n=   500  sorted         0.026 ms
  [ 40.0%]  Selection Sort    n=   500  sorted        10.779 ms
  [ 40.6%]  Insertion Sort    n=   500  sorted         0.115 ms
  [ 41.1%]  Merge Sort        n=   500  sorted         2.355 ms
